dur,sbytes,dbytes,rate,sttl,dttl,anomaly
1.1e-05,496,0,90909.0902,254,0,0
8e-06,1762,0,125000.0003,254,0,0
5e-06,1068,0,200000.0051,254,0,0
6e-06,900,0,166666.6608,254,0,0
1e-05,2126,0,100000.0025,254,0,0
3e-06,784,0,333333.3215,254,0,0
6e-06,1960,0,166666.6608,254,0,0
2.8e-05,1384,0,35714.28522,254,0,0
0.0,46,0,0.0,0,0,0
0.0,46,0,0.0,0,0,0
0.0,46,0,0.0,0,0,0
0.0,46,0,0.0,0,0,0
4e-06,1454,0,250000.0006,254,0,0
7e-06,2062,0,142857.1409,254,0,0
1.1e-05,2040,0,90909.0902,254,0,0
4e-06,1052,0,250000.0006,254,0,0
3e-06,314,0,333333.3215,254,0,0
1e-05,1774,0,100000.0025,254,0,0
2e-06,1568,0,500000.0013,254,0,0
4e-06,2054,0,250000.0006,254,0,0
1e-05,2170,0,100000.0025,254,0,0
9e-06,202,0,111111.1072,254,0,0
1e-05,1334,0,100000.0025,254,0,0
5e-06,2058,0,200000.0051,254,0,0
3e-06,286,0,333333.3215,254,0,0
7e-06,1500,0,142857.1409,254,0,0
6e-06,902,0,166666.6608,254,0,0
2e-06,1626,0,500000.0013,254,0,0
7e-06,364,0,142857.1409,254,0,0
1.434166,530,268,10.459041,254,252,0
7e-06,730,0,142857.1409,254,0,0
1.924287,530,354,8.834441,254,252,0
2.773779,7954,354,7.570899,254,252,0
1e-05,794,0,100000.0025,254,0,0
1.465041,2516,354,11.60377,254,252,0
0.983874,816,1172,17.278635,62,252,0
0.714182,534,268,21.003049,254,252,0
59.995674,92,0,0.016668,0,0,1
59.995678,92,0,0.016668,0,0,1
59.995674,92,0,0.016668,0,0,1
1.535254,826,1266,12.375802,62,252,0
59.995678,92,0,0.016668,0,0,1
0.757295,534,268,19.80734,254,252,0
0.759306,534,354,22.388865,254,252,0
1.294036,2516,354,13.137192,254,252,0
1.059359,830,1134,16.047441,62,252,0
0.624048,534,268,24.036613,254,252,0
1.190292,2516,354,14.28221,254,252,0
0.999472,534,268,15.007924,254,252,0
0.990548,804,1414,19.181301,62,252,0
0.655618,534,268,22.879176,254,252,0
0.810167,2516,354,20.983328,254,252,0
14.846565,990,0,1.414469,254,0,0
14.846565,990,0,1.414469,254,0,0
14.846565,990,0,1.414469,254,0,0
1.588788,534,268,9.441159,254,252,0
1.151373,2516,354,14.76498,254,252,0
14.355273,900,0,1.323555,254,0,0
14.355273,900,0,1.323555,254,0,0
14.355273,900,0,1.323555,254,0,0
15.53235,900,0,1.223253,254,0,0
15.590977,900,0,1.218654,254,0,0
15.53235,900,0,1.223253,254,0,0
15.53235,900,0,1.223253,254,0,0
15.590977,900,0,1.218654,254,0,0
15.590977,900,0,1.218654,254,0,0
1.074494,2516,354,15.821401,254,252,0
15.979696,810,0,1.06385,254,0,0
15.226356,810,0,1.116485,254,0,0
15.979696,810,0,1.06385,254,0,0
15.226356,810,0,1.116485,254,0,0
15.979696,810,0,1.06385,254,0,0
1.303518,898,1120,14.575939,62,252,0
15.226356,810,0,1.116485,254,0,0
15.374568,720,0,0.975637,254,0,0
15.374568,720,0,0.975637,254,0,0
15.374568,720,0,0.975637,254,0,0
0.582389,534,268,25.755981,254,252,0
16.448053,630,0,0.790367,254,0,0
16.76671,630,0,0.775346,254,0,0
16.76671,630,0,0.775346,254,0,0
15.40279,630,0,0.844003,254,0,0
16.448053,630,0,0.790367,254,0,0
2.462774,2516,354,6.902785,254,252,0
